date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:11	44507/44507	---MCZ	200	added ('OK')	text/html	etag:W/%22638dbe4d-addb%22	https://template.hasthemes.com/uniqlo/uniqlo/blog.html	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/blog.html	(from )
21:30:12	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Mar%202023%2016:29:49%20GMT	https://template.hasthemes.com/robots.txt		(from )
21:30:12	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22638dbfe1-47e%22	https://template.hasthemes.com/uniqlo/uniqlo/images/favicon.ico	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/images/favicon.ico	(from https://template.hasthemes.com/uniqlo/uniqlo/blog.html)
21:30:13	678/678	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2007%20Mar%202023%2016:29:49%20GMT	https://template.hasthemes.com/uniqlo/uniqlo/apple-touch-icon.png	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/apple-touch-icon.png	(from https://template.hasthemes.com/uniqlo/uniqlo/blog.html)
21:30:14	708/708	---MCZ	200	added ('OK')	text/css	etag:W/%22638dc051-2c4%22	https://template.hasthemes.com/uniqlo/uniqlo/css/shortcode/shortcodes.css	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/css/shortcode/shortcodes.css	(from https://template.hasthemes.com/uniqlo/uniqlo/blog.html)
21:30:14	194855/194855	---MCZ	200	added ('OK')	text/css	etag:W/%22638dbf18-2f927%22	https://template.hasthemes.com/uniqlo/uniqlo/css/bootstrap.min.css	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/css/bootstrap.min.css	(from https://template.hasthemes.com/uniqlo/uniqlo/blog.html)
21:30:15	194160/194160	---MCZ	200	added ('OK')	text/css	etag:W/%22638dbf8b-2f670%22	https://template.hasthemes.com/uniqlo/uniqlo/css/plugins.css	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/css/plugins.css	(from https://template.hasthemes.com/uniqlo/uniqlo/blog.html)
21:30:15	87216/87216	---MCZ	200	added ('OK')	text/css	etag:W/%22638dbf0a-154b0%22	https://template.hasthemes.com/uniqlo/uniqlo/style.css	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/style.css	(from https://template.hasthemes.com/uniqlo/uniqlo/blog.html)
21:30:15	28384/28384	---MCZ	200	added ('OK')	text/css	etag:W/%22638dd55a-6ee0%22	https://template.hasthemes.com/uniqlo/uniqlo/css/responsive.css	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/css/responsive.css	(from https://template.hasthemes.com/uniqlo/uniqlo/blog.html)
21:30:16	712/712	---MCZ	200	added ('OK')	text/css	etag:W/%22638dbf50-2c8%22	https://template.hasthemes.com/uniqlo/uniqlo/css/custom.css	D:/My%20Created%20Websites%20Using%20React/blog%20website%20template%20from%20envato/template.hasthemes.com/uniqlo/uniqlo/css/custom.css	(from https://template.hasthemes.com/uniqlo/uniqlo/blog.html)
